what,kind,bundleId,bundleVersion,description,time
started,bundle,org.tigris.subversion.subclipse.mylyn,3.0.0,"org.tigris.subversion.subclipse.mylyn",1270521160671
os,sysinfo,,,"win32",1270521160687
arch,sysinfo,,,"x86",1270521160687
ws,sysinfo,,,"win32",1270521160687
locale,sysinfo,,,"en_US",1270521160687
processors,sysinfo,,,"1",1270521160687
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1270521160687
java.runtime.version,sysinfo,,,"1.6.0_18-ea-b05",1270521160687
java.specification.name,sysinfo,,,"Java Platform API Specification",1270521160687
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270521160687
java.specification.version,sysinfo,,,"1.6",1270521160687
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1270521160687
java.version,sysinfo,,,"1.6.0_18-ea",1270521160687
java.vm.info,sysinfo,,,"mixed mode",1270521160687
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1270521160687
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1270521160687
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1270521160687
java.vm.specification.version,sysinfo,,,"1.0",1270521160687
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1270521160687
java.vm.version,sysinfo,,,"16.0-b12",1270521160687
started,bundle,org.eclipse.debug.core,3.5.0.v20090526-1600,"org.eclipse.debug.core",1270521169453
started,bundle,org.eclipse.jdt.launching,3.5.0.v20090527,"org.eclipse.jdt.launching",1270521169453
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270521171234
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270521191812
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1270521192593
